proposal_id,text
P00001,Coordinate a tree plantation and survival monitoring initiative along village roads and common lands in Bhavani Kheda. The project must link plantations to watering and protection responsibilities.
P00002,"Support common land development and pasture management planning in Nirmalgaon. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00003,"Support a small social audit-style review of one scheme in Panchvati Kalan. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00004,"Support low-cost housing construction quality monitoring for PMAY houses in Neelgaon. The project includes checking plinth levels, basic reinforcement details, and usable toilet provision."
P00005,"Support low-cost housing construction quality monitoring for PMAY houses in Devnagar. The project includes checking plinth levels, basic reinforcement details, and usable toilet provision."
P00006,"Support disaster preparedness and response planning in Kaveri Tanda. Students will help identify safe shelters, evacuation routes, and communication chains, and prepare a simple poster for display."
P00007,Support an environmental engineering review of wastewater and solid waste flows in Yamuna Kheda. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00008,"Support low-cost housing construction quality monitoring for PMAY houses in Tulsi Gram. The project includes checking plinth levels, basic reinforcement details, and usable toilet provision."
P00009,"Support low-cost housing construction quality monitoring for PMAY houses in Ganga Khand. The project includes checking plinth levels, basic reinforcement details, and usable toilet provision."
P00010,"Assist in planning and measurement of MGNREGA works around Kaveri Tanda such as bunds and plantations. The project includes simple layout sketches, basic measurement sheets, and worker feedback collection."
P00011,"Assist the panchayat in prioritizing rural road maintenance and small culvert repairs around Panchvati Kalan. The project involves road condition surveys, simple traffic counts, and preparation of a ranked list for budget discussions."
P00012,"Support fisheries pond management for small ponds near Shanti Nagar Panchayat. The project includes basic water quality observations, feed practices, and simple record-keeping templates for pond owners."
P00013,Organize a digital literacy and risk communication workshop for adolescents in Mahuli Panchayat on topics like online safety and disaster awareness. Feedback will be captured through short quizzes and group reflections.
P00014,"Strengthen nursery management and seedling production for village-level plantation drives in Tulsi Gram. The team will support layout, watering routines, and survival tracking of seedlings."
P00015,"Assist in a climate risk assessment exercise for Bhagirathi Pur, focusing on droughts, floods, and heatwaves. The project will combine community timelines with simple climate data visuals."
P00016,"Assist anganwadi strengthening in Chitrani Block by helping track child growth, supply gaps, and parental counseling sessions. Students will support simple malnutrition screening and referral documentation."
P00017,"Set up a lightweight project management tracker for village-level works in Neelgaon. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00018,"Plan a WASH in schools improvement drive in Chitrani Block. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00019,"Strengthen nursery management and seedling production for village-level plantation drives in Krishi Nagar. The team will support layout, watering routines, and survival tracking of seedlings."
P00020,"Support public health outreach on maternal and child health topics in Shivapuram. The project involves home visits with ASHAs, IEC material preparation, and simple data summaries."
P00021,"Design a solar pumping system proposal for drinking water or irrigation in Kaveri Tanda. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00022,"Support canal and field channel maintenance for a minor irrigation scheme serving Tulsi Gram. The project includes mapping silted reaches, collecting farmer feedback, and prioritizing segments for de-silting under MGNREGA."
P00023,Support an environmental engineering review of wastewater and solid waste flows in Saraswati Nagar. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00024,Organize a digital literacy and risk communication workshop for adolescents in Devnagar on topics like online safety and disaster awareness. Feedback will be captured through short quizzes and group reflections.
